RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
has access point for item,http://rdaregistry.info/Elements/i/P40080,"rdfs:label ""P40080value"" .",rdfs:label
has appellation of item,http://rdaregistry.info/Elements/i/P40081,not mapped,not mapped
has title of item,http://rdaregistry.info/Elements/i/P40082,"rdfs:label ""P40082value"" ;
bf:title [ a bf:Title;
   bf:mainTitle ""P40082value"" ] . ",rdfs:label ; title >> Title > mainTitle
has authorized access point for item,http://rdaregistry.info/Elements/i/P40083,"skos:prefLabel ""p40083value"" .",skos:prefLabel
has variant access point for item,http://rdaregistry.info/Elements/i/P40084,"skos:altLabel ""p40084value"" .",skos:altLabel
has preferred title of item,http://rdaregistry.info/Elements/i/P40085,"rdfs:label ""P40085value"" ;
bf:title [ a bf:Title;
   bf:mainTitle ""P40085value"" ] . ",title >> Title > mainTitle
has variant title of item,http://rdaregistry.info/Elements/i/P40086,"bf:title [ a bf:VariantTitle ;
   bf:mainTitle ""P40086value"" ] .",title >> VariantTitle > mainTitle
has digital transfer of item,http://rdaregistry.info/Elements/i/P40087,"bf:hasReproduction <P40087value> .
# with literal value
bf:hasReproduction [ a bf:Item ;
  rdfs:label ""P40087value"" ] .","hasReproduction*
or
hasReproduction >> Item > rdfs:label"
has electronic reproduction of item,http://rdaregistry.info/Elements/i/P40088,"bf:hasReproduction <P40088value> .
# with literal value
bf:hasReproduction [ a bf:Item ;
  rdfs:label ""P40088value"" ] .","hasReproduction*
or
hasReproduction >> Item > rdfs:label"
has facsimile of item,http://rdaregistry.info/Elements/i/P40089,"bf:hasReproduction <P40089value> .
# with literal value
bf:hasReproduction [ a bf:Item ;
  rdfs:label ""P40089value"" ] .","hasReproduction*
or
hasReproduction >> Item > rdfs:label"
has preservation facsimile of item,http://rdaregistry.info/Elements/i/P40090,"bf:hasReproduction <P40090value> .
# with literal value
bf:hasReproduction [ a bf:Item ;
  rdfs:label ""P40090value"" ] .","hasReproduction*
or
hasReproduction >> Item > rdfs:label"
is reprinted as item,http://rdaregistry.info/Elements/i/P40091,"bf:hasReproduction <P40091value> .
# with literal value
bf:hasReproduction [ a bf:Item ;
  rdfs:label ""P40091value"" ] .","hasReproduction*
or
hasReproduction >> Item > rdfs:label"
is reproduced as item,http://rdaregistry.info/Elements/i/P40092,"bf:hasReproduction <P40092value> .
# with literal value
bf:hasReproduction [ a bf:Item ;
  rdfs:label ""P40092value"" ] .","hasReproduction*
or
hasReproduction >> Item > rdfs:label"
has modifier agent,http://rdaregistry.info/Elements/i/P40093,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40093value"" ] ;
   bf:role [ a bf:Role ;
      rdfs:label ""modifier"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40093value> ;
   bf:role [ a bf:Role ;
      rdfs:label ""modifier"" ]  ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role >> Role > rdfs:label=""modifier""
or
contribution >> Contribution > agent* > role >> Role > rdfs:label=""modifier"" "
has binding of item,http://rdaregistry.info/Elements/i/P40094,"bf:note [ a bf:Note ;
  rdfs:label ""P40094value"" ;
  bf:noteType ""binding"" ] .","note >> Note > rdfs:label > noteType=""binding"""
has related entity of item,http://rdaregistry.info/Elements/i/P40095,not mapped,not mapped
has category of item,http://rdaregistry.info/Elements/i/P40096,"bf:genreForm <p40096value> .
# with literal value
bf:genreForm [ a bf:GenreForm ;
   rdfs:label ""p40096value"" ] .","genreForm*
or
genreForm >> GenreForm > rdfs:label "
has dedicatee person of item,http://rdaregistry.info/Elements/i/P40097,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""p40097value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/dte> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40097value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/dte> ] .","contribution >> Contribution > agent >> Person > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/dte>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/dte>"
has binder person,http://rdaregistry.info/Elements/i/P40098,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P40098value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/bnd> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40098value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/bnd> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/bnd> > agent >> Person > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/bnd>"
has curator person,http://rdaregistry.info/Elements/i/P40099,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person;
      rdfs:label ""p40099value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/cur> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40099value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/cur> ] .","contribution >> Contribution > agent >> Person > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/cur>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/cur>"
has illuminator person,http://rdaregistry.info/Elements/i/P40100,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P40100value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/ilu> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40100value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/ilu> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/ilu> > agent >> Person > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/ilu>"
has current owner person,http://rdaregistry.info/Elements/i/P40101,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P40101value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/own> ] ;
bf:custodialHistory ""P40101value"" .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40101value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/own> ] .","contribution >> Contribution > agent >> Person > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/own>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/own>"
has former owner person,http://rdaregistry.info/Elements/i/P40102,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P40102value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/fmo> ] ;
bf:custodialHistory ""P40102value"" .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40102value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/fmo> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/fmo> > agent >> Person > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/fmo>"
has custodian person,http://rdaregistry.info/Elements/i/P40103,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P40103value"" ] ;
   bf:role [ a bf:Role ;
      rdfs:label ""custodian"" ] ] ;
bf:custodialHistory ""P40103value"" .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40103value> ;
   bf:role [ a bf:Role ;
      rdfs:label ""custodian"" ]  ] .","contribution >> Contribution > agent >> Person > rdfs:label ; > role >> Role > rdfs:label=""custodian""
or
contribution >> Contribution > agent* > role >> Role > rdfs:label=""custodian"" "
has owner person,http://rdaregistry.info/Elements/i/P40104,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P40104value"" ] ;
   bf:role [ a bf:Role ;
      rdfs:label ""owner"" ] ] ;
bf:custodialHistory ""P40104value"" .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40104value> ;
   bf:role [ a bf:Role ;
      rdfs:label ""owner"" ]  ] .","contribution >> Contribution > agent >> Person > rdfs:label ; > role >> Role > rdfs:label=""owner""
or
contribution >> Contribution > agent* > role >> Role > rdfs:label=""owner"" "
has collector person,http://rdaregistry.info/Elements/i/P40105,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""p40105value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/col> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40105value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/col> ] .","contribution >> Contribution > agent >> Person > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/col>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/col>"
has collection registrar person,http://rdaregistry.info/Elements/i/P40106,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""p40106value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/cor> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40106value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/cor> ] .","contribution >> Contribution > agent >> Person > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/cor>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/cor>"
has depositor person,http://rdaregistry.info/Elements/i/P40107,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P40107value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/dpt> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40107value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/dpt> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/dpt> > agent >> Person > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/dpt>"
has donor person,http://rdaregistry.info/Elements/i/P40108,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P40108value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/dnr> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40108value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/dnr> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/dnr> > agent >> Person > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/dnr>"
has seller person,http://rdaregistry.info/Elements/i/P40109,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P40109value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/sll> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40109value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/sll> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/sll> > agent >> Person > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/sll>"
has honouree person of item,http://rdaregistry.info/Elements/i/P40110,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""p40110value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/hnr> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40110value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/hnr> ] .","contribution >> Contribution > agent >> Person > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/hnr>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/hnr>"
has restorationist person of item,http://rdaregistry.info/Elements/i/P40111,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""p40111value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/rsr> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40111value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/rsr> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/rsr> > agent >> Person > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/rsr>"
has modifier person,http://rdaregistry.info/Elements/i/P40112,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Person ;
      rdfs:label ""P40112value"" ] ;
   bf:role [ a bf:Role ;
      rdfs:label ""modifier"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40112value> ;
   bf:role [ a bf:Role ;
      rdfs:label ""modifier"" ]  ] .","contribution >> Contribution > agent >> Person > rdfs:label ; > role >> Role > rdfs:label=""modifier""
or
contribution >> Contribution > agent* > role >> Role > rdfs:label=""modifier"" "
has dedicatee collective agent of item,http://rdaregistry.info/Elements/i/P40113,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""p40113value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/dte> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40113value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/dte> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/dte>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/dte>"
has binder collective agent,http://rdaregistry.info/Elements/i/P40114,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40114value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/bnd> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40114value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/bnd> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/bnd> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/bnd>"
has curator collective agent,http://rdaregistry.info/Elements/i/P40115,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""p40115value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/cur> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40115value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/cur> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/cur>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/cur>"
has illuminator collective agent,http://rdaregistry.info/Elements/i/P40116,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40116value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/ilu> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40116value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/ilu> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/ilu> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/ilu>"
has current owner collective agent,http://rdaregistry.info/Elements/i/P40117,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40117value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/own> ] ;
bf:custodialHistory ""P40017value"" .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40117value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/own> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/own>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/own>"
has former owner collective agent,http://rdaregistry.info/Elements/i/P40118,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40118value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/fmo> ] ;
bf:custodialHistory ""P40118value"" .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40118value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/fmo> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/fmo> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/fmo>"
has custodian collective agent,http://rdaregistry.info/Elements/i/P40119,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40119value"" ] ;
   bf:role [ a bf:Role ;
      rdfs:label ""custodian"" ] ] ;
bf:custodialHistory ""P40119value"" .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40119value> ;
   bf:role [ a bf:Role ;
      rdfs:label ""custodian"" ]  ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role >> Role > rdfs:label=""custodian""
or
contribution >> Contribution > agent* > role >> Role > rdfs:label=""custodian"" "
has owner collective agent,http://rdaregistry.info/Elements/i/P40120,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40120value"" ] ;
   bf:role [ a bf:Role ;
      rdfs:label ""owner"" ] ] ;
bf:custodialHistory ""P40120value"" .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40120value> ;
   bf:role [ a bf:Role ;
      rdfs:label ""owner"" ]  ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role >> Role > rdfs:label=""owner""
or
contribution >> Contribution > agent* > role >> Role > rdfs:label=""owner"" "
has collector collective agent,http://rdaregistry.info/Elements/i/P40121,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""p40121value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/col> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40121value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/col> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/col>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/col>"
has collection registrar collective agent,http://rdaregistry.info/Elements/i/P40122,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""p40122value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/cor> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <p40122value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/cor> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/cor>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/cor>"
has depositor collective agent,http://rdaregistry.info/Elements/i/P40123,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40123value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/dpt> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40123value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/dpt> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/dpt> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/dpt>"
has donor collective agent,http://rdaregistry.info/Elements/i/P40124,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40124value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/dnr> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40124value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/dnr> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/dnr> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/dnr>"
has seller collective agent,http://rdaregistry.info/Elements/i/P40125,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P40125value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/sll> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P40125value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/sll> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/sll> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/sll>"
